Year,Age group,Sex,Value
2014,,,12.6
2015,,,11.7
2016,,,13.3
2017,,,14.1
2018,,,13.4
2019,,,17.4
2020,,,19.1
2023,,,13.1
2024,,,7.8
2014,,Male,11.3
2015,,Male,10.5
2016,,Male,11.8
2017,,Male,12.9
2018,,Male,11.3
2019,,Male,16.0
2020,,Male,17.6
2022,,Male,11.4
2024,,Male,7.2
2014,,Female,13.8
2015,,Female,12.8
2016,,Female,14.6
2017,,Female,15.2
2018,,Female,15.4
2019,,Female,18.7
2020,,Female,20.3
2022,,Female,14.5
2024,,Female,8.4
2014,15-24,,33.15822652
2015,15-24,,29.72287629
2016,15-24,,36.81669743
2017,15-24,,32.75163053
2018,15-24,,29.25699463
2019,15-24,,41.73617984
2020,15-24,,42.20274846
2023,15-24,,29.77725674
2024,15-24,,16.28140004
2014,25-34,,15.40226688
2015,25-34,,13.80378204
2016,25-34,,14.73454732
2017,25-34,,18.75236295
2018,25-34,,18.12577874
2019,25-34,,16.20811405
2020,25-34,,24.21113024
2023,25-34,,11.59790351
2024,25-34,,8.692381662
2014,35-44,,13.11970277
2015,35-44,,9.960012304
2016,35-44,,10.99473306
2017,35-44,,11.47570594
2018,35-44,,12.33474603
2019,35-44,,15.96338062
2020,35-44,,17.79298546
2023,35-44,,10.82452431
2024,35-44,,7.105727893
2014,45-54,,8.884981382
2015,45-54,,9.718657205
2016,45-54,,10.44132445
2017,45-54,,11.4967462
2018,45-54,,9.897610922
2019,45-54,,13.69298931
2020,45-54,,13.2735833
2023,45-54,,9.905215897
2024,45-54,,5.881313813
2014,55-64,,7.171775593
2015,55-64,,6.745362563
2016,55-64,,7.047526042
2017,55-64,,9.158050222
2018,55-64,,8.713856849
2019,55-64,,14.53950118
2020,55-64,,15.36897343
2023,55-64,,13.63582793
2024,55-64,,5.65712683
2014,65+,,2.199661591
2015,65+,,7.867494824
2016,65+,,6.978557505
2017,65+,,4.95049505
2018,65+,,6.647058824
2019,65+,,10.69805865
2020,65+,,15.35433071
2023,65+,,10.97070649
2024,65+,,11.63047855
